dataset,split,variant,metric,mean,std,seeds
2wiki,heldout,colbertv2,answer_support_rate,77.21977737509708,0.0,3
2wiki,heldout,colbertv2,em,77.21977737509708,0.0,3
2wiki,heldout,colbertv2,f1,77.76361141206354,0.0,3
2wiki,heldout,colbertv2,mrr,0.9629104364154843,0.0,3
2wiki,heldout,colbertv2,recall@10,100.0,0.0,3
2wiki,heldout,colbertv2,recall@5,83.91146777116231,0.0,3
2wiki,heldout,controller_dense_hkvm,all_recall@10,100.0,0.0,3
2wiki,heldout,controller_dense_hkvm,all_recall@5,93.1055311070843,0.14995381134681612,3
2wiki,heldout,controller_dense_hkvm,answer_support_rate,88.77383725947018,0.1375215933256472,3
2wiki,heldout,controller_dense_hkvm,em,88.77383725947018,0.1375215933256472,3
2wiki,heldout,controller_dense_hkvm,f1,88.95916879737744,0.1224724449467301,3
2wiki,heldout,controller_dense_hkvm,mrr,0.9751540870036858,0.0010432004084743908,3
2wiki,heldout,controller_dense_hkvm,recall@10,100.0,0.0,3
2wiki,heldout,controller_dense_hkvm,recall@5,96.90439209595306,0.06896353163838866,3
2wiki,heldout,controller_dense_only,all_recall@10,100.0,0.0,3
2wiki,heldout,controller_dense_only,all_recall@5,63.54301492794892,0.17725980312515485,3
2wiki,heldout,controller_dense_only,answer_support_rate,77.10760203641384,0.14387205108752338,3
2wiki,heldout,controller_dense_only,em,77.10760203641384,0.14387205108752338,3
2wiki,heldout,controller_dense_only,f1,77.64126242807853,0.1579378964022678,3
2wiki,heldout,controller_dense_only,mrr,0.9629288241312575,1.2203068102315745e-05,3
2wiki,heldout,controller_dense_only,recall@10,100.0,0.0,3
2wiki,heldout,controller_dense_only,recall@5,83.82733626714989,0.08304589073656397,3
2wiki,heldout,controller_hkvm_only,all_recall@10,100.0,0.0,3
2wiki,heldout,controller_hkvm_only,all_recall@5,92.22538614203124,0.12018628248498225,3
2wiki,heldout,controller_hkvm_only,answer_support_rate,88.32513590473725,0.10568166980685015,3
2wiki,heldout,controller_hkvm_only,em,88.32513590473725,0.10568166980685015,3
2wiki,heldout,controller_hkvm_only,f1,88.53112386506122,0.10170273573974987,3
2wiki,heldout,controller_hkvm_only,mrr,0.9613785034248404,0.0020378606129028407,3
2wiki,heldout,controller_hkvm_only,recall@10,100.0,0.0,3
2wiki,heldout,controller_hkvm_only,recall@5,96.46216239537492,0.05132184508314016,3
2wiki,heldout,phase1c_mlp_topk_4,all_recall@10,99.05945292950211,0.08002086888856412,3
2wiki,heldout,phase1c_mlp_topk_4,all_recall@5,92.19949952541202,0.1201862824849758,3
2wiki,heldout,phase1c_mlp_topk_4,answer_support_rate,88.29924928811805,0.10568166980685015,3
2wiki,heldout,phase1c_mlp_topk_4,em,88.29924928811805,0.10568166980685015,3
2wiki,heldout,phase1c_mlp_topk_4,f1,88.50523724844201,0.10170273573974392,3
2wiki,heldout,phase1c_mlp_topk_4,mrr,0.9644676396747326,0.00057364155744925,3
2wiki,heldout,phase1c_mlp_topk_4,recall@10,99.55992751747347,0.04127001136790968,3
2wiki,heldout,phase1c_mlp_topk_4,recall@5,96.44921908706532,0.05132184508314016,3
2wiki,heldout,quota_dense3_hkvm2,all_recall@10,100.0,0.0,3
2wiki,heldout,quota_dense3_hkvm2,all_recall@5,65.40685132453189,0.04881227240911393,3
2wiki,heldout,quota_dense3_hkvm2,answer_support_rate,78.42781948399345,0.05319194065897541,3
2wiki,heldout,quota_dense3_hkvm2,em,78.42781948399345,0.05319194065897541,3
2wiki,heldout,quota_dense3_hkvm2,f1,78.95255669368292,0.052858228200443995,3
2wiki,heldout,quota_dense3_hkvm2,mrr,0.9632798343256537,0.0,3
2wiki,heldout,quota_dense3_hkvm2,recall@10,100.0,0.0,3
2wiki,heldout,quota_dense3_hkvm2,recall@5,84.96634739839503,0.027456903230126166,3
2wiki,heldout,rrf_dense_hkvm,all_recall@10,100.0,0.0,3
2wiki,heldout,rrf_dense_hkvm,all_recall@5,81.62050220036241,0.13199636328223835,3
2wiki,heldout,rrf_dense_hkvm,answer_support_rate,86.36638191388386,0.09762454481823454,3
2wiki,heldout,rrf_dense_hkvm,em,86.36638191388386,0.09762454481823454,3
2wiki,heldout,rrf_dense_hkvm,f1,86.73262567386305,0.09318124025376284,3
2wiki,heldout,rrf_dense_hkvm,mrr,0.9776821411108235,0.0003451788565133507,3
2wiki,heldout,rrf_dense_hkvm,recall@10,100.0,0.0,3
2wiki,heldout,rrf_dense_hkvm,recall@5,92.94158253516265,0.06564468053629438,3
hotpotqa,all,colbertv2,all_recall@10,100.0,0.0,3
hotpotqa,all,colbertv2,all_recall@5,68.19716407832546,0.0,3
hotpotqa,all,colbertv2,answer_support_rate,79.63538149898717,0.0,3
hotpotqa,all,colbertv2,em,79.63538149898717,0.0,3
hotpotqa,all,colbertv2,f1,79.84400128960641,0.0,3
hotpotqa,all,colbertv2,mrr,0.9238724371134904,0.0,3
hotpotqa,all,colbertv2,recall@10,100.0,0.0,3
hotpotqa,all,colbertv2,recall@5,83.60567184334909,0.0,3
hotpotqa,all,controller_dense_hkvm,all_recall@10,100.0,0.0,3
hotpotqa,all,controller_dense_hkvm,all_recall@5,79.77942831420212,0.3251041203739395,3
hotpotqa,all,controller_dense_hkvm,answer_support_rate,85.62682871933379,0.1268422489633632,3
hotpotqa,all,controller_dense_hkvm,em,85.62682871933379,0.1268422489633632,3
hotpotqa,all,controller_dense_hkvm,f1,85.80995577899812,0.12129080936185492,3
hotpotqa,all,controller_dense_hkvm,mrr,0.927960015576491,0.005933494406703496,3
hotpotqa,all,controller_dense_hkvm,recall@10,100.0,0.0,3
hotpotqa,all,controller_dense_hkvm,recall@5,89.63988296196264,0.1630188517869155,3
hotpotqa,all,controller_dense_only,all_recall@10,100.0,0.0,3
hotpotqa,all,controller_dense_only,all_recall@5,67.4004051316678,0.09612494487536322,3
hotpotqa,all,controller_dense_only,answer_support_rate,79.67139320279091,0.1126265676632591,3
hotpotqa,all,controller_dense_only,em,79.67139320279091,0.1126265676632591,3
hotpotqa,all,controller_dense_only,f1,79.90938620459926,0.11646721060590076,3
hotpotqa,all,controller_dense_only,mrr,0.9238131142621352,3.903728199094318e-05,3
hotpotqa,all,controller_dense_only,recall@10,100.0,0.0,3
hotpotqa,all,controller_dense_only,recall@5,83.14877335133919,0.03752719333903292,3
hotpotqa,all,controller_hkvm_only,all_recall@10,100.0,0.0,3
hotpotqa,all,controller_hkvm_only,all_recall@5,74.09858203916272,0.0902540520178441,3
hotpotqa,all,controller_hkvm_only,answer_support_rate,82.70537924825568,0.08912441986596388,3
hotpotqa,all,controller_hkvm_only,em,82.70537924825568,0.08912441986596388,3
hotpotqa,all,controller_hkvm_only,f1,82.92909204350202,0.09222155096665813,3
hotpotqa,all,controller_hkvm_only,mrr,0.869806044107192,0.001316876515111043,3
hotpotqa,all,controller_hkvm_only,recall@10,100.0,0.0,3
hotpotqa,all,controller_hkvm_only,recall@5,86.02520819266262,0.05631328383162832,3
hotpotqa,all,phase1c_mlp_topk_4,all_recall@10,96.43934278640558,0.02774888139981483,3
hotpotqa,all,phase1c_mlp_topk_4,all_recall@5,74.09858203916272,0.0902540520178441,3
hotpotqa,all,phase1c_mlp_topk_4,answer_support_rate,82.70537924825568,0.08912441986596388,3
hotpotqa,all,phase1c_mlp_topk_4,em,82.70537924825568,0.08912441986596388,3
hotpotqa,all,phase1c_mlp_topk_4,f1,82.92909204350202,0.09222155096665813,3
hotpotqa,all,phase1c_mlp_topk_4,mrr,0.8696863623534792,0.001285798896010109,3
hotpotqa,all,phase1c_mlp_topk_4,recall@10,98.17690749493586,0.01102628738592361,3
hotpotqa,all,phase1c_mlp_topk_4,recall@5,86.02520819266262,0.05631328383162832,3
hotpotqa,all,quota_dense3_hkvm2,all_recall@10,100.0,0.0,3
hotpotqa,all,quota_dense3_hkvm2,all_recall@5,71.40670717983345,0.03544455491340183,3
hotpotqa,all,quota_dense3_hkvm2,answer_support_rate,80.7112311501238,0.02295304755162506,3
hotpotqa,all,quota_dense3_hkvm2,em,80.7112311501238,0.02295304755162506,3
hotpotqa,all,quota_dense3_hkvm2,f1,80.91829878794172,0.024328679834976222,3
hotpotqa,all,quota_dense3_hkvm2,mrr,0.9243578270080633,2.086867940616032e-05,3
hotpotqa,all,quota_dense3_hkvm2,recall@10,100.0,0.0,3
hotpotqa,all,quota_dense3_hkvm2,recall@5,85.34998874634256,0.015915074976064602,3
hotpotqa,all,rrf_dense_hkvm,all_recall@10,100.0,0.0,3
hotpotqa,all,rrf_dense_hkvm,all_recall@5,75.93517893315328,0.12278353992335307,3
hotpotqa,all,rrf_dense_hkvm,answer_support_rate,83.03398604546477,0.09247192700506243,3
hotpotqa,all,rrf_dense_hkvm,em,83.03398604546477,0.09247192700506243,3
hotpotqa,all,rrf_dense_hkvm,f1,83.22328358482389,0.091211998043873,3
