dataset,seed,split,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,f1,1671,58.910379730688106,65.08161790194295,6.1712381712548465,203,105,1363,0.12148414123279473,0.06283662477558348
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,f1,1671,58.910379730688106,65.32960638100124,6.419226650313132,234,129,1308,0.1400359066427289,0.07719928186714542
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,em,1671,58.408138839018555,65.58946738479952,7.1813285457809695,202,82,1387,0.12088569718731298,0.049072411729503294
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,em,1671,58.408138839018555,64.81149012567325,6.403351286654698,197,90,1384,0.11789347695990425,0.05385996409335727
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,em,1671,58.408138839018555,64.99102333931778,6.5828845002992225,225,115,1331,0.13464991023339318,0.06882106523040096
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@10,1671,49.31178934769599,63.37522441651706,14.063435068821065,305,70,1296,0.18252543387193298,0.041891083183722325
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@10,1671,49.31178934769599,64.4524236983842,15.140634350688211,318,65,1288,0.19030520646319568,0.03889886295631358
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@10,1671,49.31178934769599,63.73429084380611,14.422501496110113,329,88,1254,0.1968880909634949,0.052663076002393776
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@5,1671,27.049670855774984,43.26750448833034,16.217833632555354,331,60,1280,0.1980849790544584,0.03590664272890485
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@5,1671,27.049670855774984,42.549371633752244,15.499700777977258,321,62,1288,0.19210053859964094,0.03710353081986834
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,all_recall@5,1671,27.049670855774984,43.806104129263915,16.75643327348893,355,75,1241,0.21244763614602036,0.04488330341113106
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,answer_support_rate,1671,58.408138839018555,65.58946738479952,7.1813285457809695,202,82,1387,0.12088569718731298,0.049072411729503294
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,answer_support_rate,1671,58.408138839018555,64.81149012567325,6.403351286654698,197,90,1384,0.11789347695990425,0.05385996409335727
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,answer_support_rate,1671,58.408138839018555,64.99102333931778,6.5828845002992225,225,115,1331,0.13464991023339318,0.06882106523040096
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@5,1671,60.23339317773788,72.26710552563335,12.033712347895472,602,120,949,0.360263315380012,0.0718132854578097
