dataset,seed,split,variant,metric,value,n_examples
musique,29,all,controller_dense_only,answer_support_rate,57.88167149358709,2417
musique,29,all,controller_dense_only,recall@5,60.18824989656599,2417
musique,29,all,controller_dense_only,recall@10,78.15128947731347,2417
musique,29,all,controller_dense_only,mrr,0.8120246140105469,2417
musique,29,all,controller_hkvm_only,f1,56.793441689751496,2417
musique,29,all,controller_hkvm_only,em,56.22672734795201,2417
musique,29,all,controller_hkvm_only,all_recall@10,59.41249482829954,2417
musique,29,all,controller_hkvm_only,all_recall@5,35.49855192387257,2417
musique,29,all,controller_hkvm_only,answer_support_rate,56.22672734795201,2417
musique,29,all,controller_hkvm_only,recall@5,65.68059577989243,2417
musique,29,all,controller_hkvm_only,recall@10,82.03351261894912,2417
musique,29,all,controller_hkvm_only,mrr,0.8044639163071103,2417
musique,29,all,quota_dense3_hkvm2,f1,59.14959256022494,2417
musique,29,all,quota_dense3_hkvm2,em,58.66776996276376,2417
musique,29,all,quota_dense3_hkvm2,all_recall@10,52.00661977658254,2417
musique,29,all,quota_dense3_hkvm2,all_recall@5,30.7405875051717,2417
musique,29,all,quota_dense3_hkvm2,answer_support_rate,58.66776996276376,2417
musique,29,all,quota_dense3_hkvm2,recall@5,64.34284926217073,2417
musique,29,all,quota_dense3_hkvm2,recall@10,78.47883050613709,2417
musique,29,all,quota_dense3_hkvm2,mrr,0.8154848920674324,2417
musique,29,all,rrf_dense_hkvm,f1,58.54077502412759,2417
musique,29,all,rrf_dense_hkvm,em,58.0471659081506,2417
musique,29,all,rrf_dense_hkvm,all_recall@10,63.094745552337606,2417
musique,29,all,rrf_dense_hkvm,all_recall@5,33.30575093090608,2417
musique,29,all,rrf_dense_hkvm,answer_support_rate,58.0471659081506,2417
musique,29,all,rrf_dense_hkvm,recall@5,63.622258998758795,2417
musique,29,all,rrf_dense_hkvm,recall@10,84.06081919735209,2417
musique,29,all,rrf_dense_hkvm,mrr,0.8290624938432137,2417
musique,29,all,controller_dense_hkvm,f1,64.72707263678019,2417
musique,29,all,controller_dense_hkvm,em,64.41870086884568,2417
musique,29,all,controller_dense_hkvm,all_recall@10,64.54282167976831,2417
musique,29,all,controller_dense_hkvm,all_recall@5,43.11129499379396,2417
musique,29,all,controller_dense_hkvm,answer_support_rate,64.41870086884568,2417
musique,29,all,controller_dense_hkvm,recall@5,71.6728727072128,2417
musique,29,all,controller_dense_hkvm,recall@10,84.71590125499931,2417
musique,29,all,controller_dense_hkvm,mrr,0.8327299682802372,2417
musique,29,analysis_train_slice,colbertv2,f1,58.910379730688106,1671
musique,29,analysis_train_slice,colbertv2,em,58.408138839018555,1671
musique,29,analysis_train_slice,colbertv2,all_recall@10,49.31178934769599,1671
musique,29,analysis_train_slice,colbertv2,all_recall@5,27.049670855774984,1671
musique,29,analysis_train_slice,colbertv2,answer_support_rate,58.408138839018555,1671
musique,29,analysis_train_slice,colbertv2,recall@5,60.23339317773788,1671
musique,29,analysis_train_slice,colbertv2,recall@10,76.80530620386993,1671
musique,29,analysis_train_slice,colbertv2,mrr,0.8144901826679205,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,f1,57.423082873569506,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,em,56.91202872531418,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,all_recall@10,53.02214242968282,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,all_recall@5,35.36804308797127,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,answer_support_rate,56.91202872531418,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,recall@5,65.77398763215639,1671
musique,29,analysis_train_slice,phase1c_mlp_topk_4,recall@10,77.66307600239378,1671
