dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_dense,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_dense,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,35.581299131154324,0.0,3,-19.321472900289614,-19.321472900289614,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,54.19942076954903,0.0,3,0.0,0.0,32.726520479933804,-21.472900289615225,-21.472900289615225,-11.943180250999866,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,32.726520479933804,0.0,3,-21.472900289615225,-21.472900289615225,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,28.768445731623224,0.019503703797726098,3,0.30340642669976603,0.30340642669976603,14.067025237898221,-14.398014067025237,-14.398014067025237,-14.025651634257343,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,14.067025237898221,0.0,3,-14.398014067025237,-14.398014067025237,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,63.37843193695893,0.2472807355977613,3,7.812974871100302,7.812974871100302,56.75365088248034,1.1881938166217125,1.1881938166217125,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,56.75365088248034,0.24927685895406687,3,1.1881938166217125,1.1881938166217125,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,62.915459936560474,0.21979557923747478,3,8.012687905116536,8.012687905116536,56.21293614673838,1.310164115294441,1.310164115294441,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,56.21293614673838,0.25354814937043346,3,1.310164115294441,1.310164115294441,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,66.1426010205489,0.37667908657420107,3,11.943180250999866,11.943180250999866,53.30299269066336,-0.8964280788856698,-0.8964280788856698,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,53.30299269066336,0.29125240769470173,3,-0.8964280788856698,-0.8964280788856698,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,42.79409736588057,0.17335271121192275,3,14.32905806095711,14.32905806095711,35.59509033236795,7.130051027444495,7.130051027444495,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,35.59509033236795,0.019503703797726098,3,7.130051027444495,7.130051027444495,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,72.78481440975828,0.25591255147225694,3,7.286456807742013,7.286456807742013,70.66540003324354,5.167042431227273,5.167042431227273,-15.833011721667518,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,70.66540003324354,0.0,3,5.167042431227273,5.167042431227273,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,72.19306615776081,0.25345702052336944,3,7.482506361323146,7.482506361323146,70.06997455470739,5.359414758269722,5.359414758269722,-16.218723494486852,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.06997455470739,0.0,3,5.359414758269722,5.359414758269722,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,99.6501272264631,-0.3498727735369016,-0.3498727735369016,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,-0.3498727735369016,-0.3498727735369016,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,57.93575063613232,0.45803183282171395,3,11.537849872773542,11.537849872773542,56.774809160305345,10.376908396946568,10.376908396946568,-35.000530110262936,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,56.774809160305345,0.0,3,10.376908396946568,10.376908396946568,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,79.7730606130476,0.21735184738100163,3,14.274703011031335,14.274703011031335,78.09801350168857,12.5996558996723,12.5996558996723,-8.844765518378196,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,78.09801350168857,0.0,3,12.5996558996723,12.5996558996723,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
