dataset,seed,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate,source_path_before_reorg
2wiki,13,colbertv2,controller_dense_hkvm,all_recall@5,12576,64.11418575063614,93.51940203562341,29.405216284987276,3932,234,8410,0.31265903307888043,0.018606870229007633,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,colbertv2,controller_dense_hkvm,f1,12576,77.76259809482275,88.74482563199868,10.982227537175929,1652,230,10694,0.1313613231552163,0.01828880407124682,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,colbertv2,controller_dense_hkvm,em,12576,77.19465648854961,88.54166666666667,11.34701017811705,1639,212,10725,0.13032760814249364,0.016857506361323157,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,colbertv2,controller_dense_hkvm,all_recall@10,12576,100.0,100.0,0.0,0,0,12576,0.0,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,colbertv2,controller_dense_hkvm,all_recall@5,12576,64.11418575063614,93.15362595419847,29.03944020356234,3921,269,8386,0.31178435114503816,0.021389949109414757,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,colbertv2,controller_dense_hkvm,f1,12576,77.76259809482275,88.7938342757045,11.031236180881754,1647,218,10711,0.13096374045801526,0.017334605597964375,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,colbertv2,controller_dense_hkvm,em,12576,77.19465648854961,88.60527989821882,11.410623409669212,1635,200,10741,0.13000954198473283,0.015903307888040712,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,colbertv2,controller_dense_hkvm,all_recall@10,12576,100.0,100.0,0.0,0,0,12576,0.0,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,colbertv2,controller_dense_hkvm,all_recall@5,12576,64.11418575063614,93.22519083969466,29.111005089058523,3915,254,8407,0.3113072519083969,0.020197201017811705,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,calibrated_hkvm_topk4,controller_dense_hkvm,f1,12576,88.52217686187151,88.99977655225747,0.4775996903859499,88,24,12464,0.006997455470737914,0.0019083969465648854,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,calibrated_hkvm_topk4,controller_dense_hkvm,em,12576,88.31902035623409,88.8279262086514,0.5089058524173028,86,22,12468,0.006838422391857507,0.0017493638676844784,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,12576,99.12531806615776,100.0,0.8746819338422391,110,0,12466,0.008746819338422392,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,13,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,12576,92.70833333333333,93.51940203562341,0.8110687022900763,144,42,12390,0.011450381679389313,0.0033396946564885495,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,calibrated_hkvm_topk4,controller_dense_hkvm,f1,12576,88.28173221566098,88.74482563199868,0.46309341633769113,76,16,12484,0.006043256997455471,0.001272264631043257,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,calibrated_hkvm_topk4,controller_dense_hkvm,em,12576,88.06456743002545,88.54166666666667,0.4770992366412214,75,15,12486,0.0059637404580152676,0.0011927480916030535,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,12576,99.00604325699746,100.0,0.9939567430025446,125,0,12451,0.009939567430025446,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,29,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,12576,92.37436386768448,93.15362595419847,0.7792620865139949,122,24,12430,0.009701017811704835,0.0019083969465648854,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,calibrated_hkvm_topk4,controller_dense_hkvm,f1,12576,88.36976989648745,88.7938342757045,0.424064379217051,82,24,12470,0.006520356234096692,0.0019083969465648854,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,calibrated_hkvm_topk4,controller_dense_hkvm,em,12576,88.1599872773537,88.60527989821882,0.44529262086513993,80,24,12472,0.006361323155216285,0.0019083969465648854,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,12576,98.95833333333333,100.0,1.0416666666666667,131,0,12445,0.010416666666666666,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
2wiki,43,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,12576,92.50954198473282,93.22519083969466,0.7156488549618321,137,47,12392,0.010893765903307888,0.0037372773536895674,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,f1,7405,79.84400128960641,85.82036945315251,5.976368163546102,769,325,6311,0.10384875084402431,0.04388926401080351,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,em,7405,79.63538149898717,85.63133018230926,5.99594868332208,757,313,6335,0.10222822417285618,0.04226873733963538,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,all_recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,all_recall@5,7405,68.19716407832546,79.63538149898717,11.438217420661715,1398,551,5456,0.1887913571910871,0.07440918298446995,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,answer_support_rate,7405,79.63538149898717,85.63133018230926,5.99594868332208,757,313,6335,0.10222822417285618,0.04226873733963538,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,recall@5,7405,83.60567184334909,89.59486833220797,5.989196488858879,1433,568,5404,0.19351789331532748,0.07670492910195814,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,13,colbertv2,controller_dense_hkvm,mrr,7405,0.9238724371134904,0.9313467948511838,0.007474357737693322,416,252,6737,0.056178257933828496,0.034031060094530725,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,f1,7405,79.84400128960641,85.65647265522465,5.812471365618244,761,327,6317,0.10276839972991222,0.04415935178933153,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
