dataset,reference_variant,candidate_variant,metric,bootstrap_unit,seeds,n_seeds_completed,n_bootstrap_units,reference_seed_mean,candidate_seed_mean,seed_mean_diff,seed_sd_diff,seed_min_diff,seed_max_diff,all_seed_means_positive,mean_diff,sd_diff,ci_low,ci_high,p_diff_le_0,source_path_before_reorg
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,f1,seed_mean,"13,29,43",3,3,88.39122632467331,88.84614548665355,0.4549191619802307,0.0276879253685258,0.424064379217051,0.4775996903859499,True,0.4549191619802307,0.0276879253685258,0.4240643792170509,0.4775996903859499,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,em,seed_example,"13,29,43",3,37728,88.18119168787108,88.6582909245123,0.4770992366412214,0.03180661577608143,0.44529262086513993,0.5089058524173028,True,0.4770992366412214,8.934267833563974,0.38963104325699743,0.5672179813401187,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,em,seed_mean,"13,29,43",3,3,88.18119168787108,88.6582909245123,0.4770992366412214,0.03180661577608143,0.44529262086513993,0.5089058524173028,True,0.4770992366412214,0.03180661577608143,0.44529262086513993,0.5089058524173028,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,seed_example,"13,29,43",3,37728,99.02989821882952,100.0,0.9701017811704835,0.08601028805973263,0.8746819338422391,1.0416666666666667,True,0.9701017811704835,9.801613493654642,0.871965118744699,1.0708227311280747,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@10,seed_mean,"13,29,43",3,3,99.02989821882952,100.0,0.9701017811704835,0.08601028805973263,0.8746819338422391,1.0416666666666667,True,0.9701017811704835,0.08601028805973264,0.8746819338422392,1.0416666666666667,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,seed_example,"13,29,43",3,37728,92.5307463952502,93.29940627650552,0.768659881255301,0.04858540813142323,0.7156488549618321,0.8110687022900763,True,0.768659881255301,11.669670919833141,0.6520356234096693,0.8880009541984724,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
2wiki,calibrated_hkvm_topk4,controller_dense_hkvm,all_recall@5,seed_mean,"13,29,43",3,3,92.5307463952502,93.29940627650552,0.768659881255301,0.04858540813142323,0.7156488549618321,0.8110687022900763,True,0.7686598812553012,0.04858540813142323,0.7156488549618322,0.8110687022900763,0.0,results/phase1d_controller/phase1d_oof_paired_bootstrap_20260525/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,f1,seed_example,"13,29,43",3,22215,79.84400128960641,85.80995577899812,5.965954489391712,0.14855029671286663,5.812471365618244,6.10902393901079,True,5.965954489391712,36.73940339331152,5.49103168302704,6.452143377072066,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,f1,seed_mean,"13,29,43",3,3,79.84400128960641,85.80995577899812,5.965954489391712,0.14855029671286663,5.812471365618244,6.10902393901079,True,5.965954489391712,0.14855029671286663,5.812471365618244,6.10902393901079,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,em,seed_example,"13,29,43",3,22215,79.63538149898717,85.62682871933379,5.991447220346613,0.15534939389365185,5.833896016205267,6.144496961512491,True,5.991447220346613,37.110292119205525,5.509790681971641,6.482106684672519,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
