dataset,metric,metric_label,variant,variant_label,mean,std,seeds,delta_vs_colbertv2,delta_vs_calibrated_hkvm,candidate_mean,candidate_delta_vs_colbertv2,candidate_delta_vs_calibrated_hkvm,candidate_vs_colbertv2_ci_low,candidate_vs_colbertv2_ci_high,candidate_vs_colbertv2_p_diff_le_0,candidate_vs_calibrated_hkvm_ci_low,candidate_vs_calibrated_hkvm_ci_high,candidate_vs_calibrated_hkvm_p_diff_le_0
hotpotqa,f1,F1,colbertv2,ColBERTv2,79.84400128960641,0.0,3,0.0,-3.0850907538956136,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,calibrated_hkvm_topk4,Learned HKVM calibration,82.92909204350202,0.09222155096665813,3,3.0850907538956136,0.0,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,quota_dense3_hkvm2,Quota dense3+HKVM2,80.91829878794172,0.024328679834976222,3,1.0742974983353122,-2.0107932555603014,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,quota_dense4_hkvm1,Quota dense4+HKVM1,80.87328415818705,0.026878793292907023,3,1.029282868580637,-2.0558078853149766,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,rrf_dense_hkvm,RRF dense+HKVM,83.22328358482389,0.091211998043873,3,3.379282295217479,0.2941915413218652,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,83.22328358482389,0.091211998043873,3,3.379282295217479,0.2941915413218652,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,controller_dense_only,Controller dense-only,79.90938620459926,0.11646721060590076,3,0.0653849149928476,-3.019705838902766,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,controller_hkvm_only,Controller HKVM-only,82.92909204350202,0.09222155096665813,3,3.0850907538956136,0.0,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,f1,F1,controller_dense_hkvm,Controller dense+HKVM,85.80995577899812,0.12129080936185492,3,5.965954489391706,2.880863735496092,85.80995577899812,5.965954489391706,2.880863735496092,5.49103168302704,6.452143377072066,0.0,2.554894289129692,3.201222820207591,0.0
hotpotqa,em,EM,colbertv2,ColBERTv2,79.63538149898717,0.0,3,0.0,-3.0699977492685093,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,calibrated_hkvm_topk4,Learned HKVM calibration,82.70537924825568,0.08912441986596388,3,3.0699977492685093,0.0,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,quota_dense3_hkvm2,Quota dense3+HKVM2,80.7112311501238,0.02295304755162506,3,1.0758496511366218,-1.9941480981318875,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,quota_dense4_hkvm1,Quota dense4+HKVM1,80.66621652036912,0.025464119961700685,3,1.0308350213819466,-2.0391627278865627,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,rrf_dense_hkvm,RRF dense+HKVM,83.03398604546477,0.09247192700506243,3,3.3986045464776,0.3286067972090905,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,83.03398604546477,0.09247192700506243,3,3.3986045464776,0.3286067972090905,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,controller_dense_only,Controller dense-only,79.67139320279091,0.1126265676632591,3,0.036011703803737305,-3.033986045464772,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,controller_hkvm_only,Controller HKVM-only,82.70537924825568,0.08912441986596388,3,3.0699977492685093,0.0,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,em,EM,controller_dense_hkvm,Controller dense+HKVM,85.62682871933379,0.1268422489633632,3,5.991447220346615,2.9214494710781054,85.62682871933379,5.991447220346615,2.9214494710781054,5.509790681971641,6.482106684672519,0.0,2.5793382849426063,3.2545577312626603,0.0
hotpotqa,all_recall@10,AR@10,colbertv2,ColBERTv2,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,calibrated_hkvm_topk4,Learned HKVM calibration,96.43934278640558,0.02774888139981483,3,-3.5606572135944248,0.0,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,quota_dense3_hkvm2,Quota dense3+HKVM2,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,quota_dense4_hkvm1,Quota dense4+HKVM1,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,rrf_dense_hkvm,RRF dense+HKVM,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,controller_dense_only,Controller dense-only,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,controller_hkvm_only,Controller HKVM-only,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@10,AR@10,controller_dense_hkvm,Controller dense+HKVM,100.0,0.0,3,0.0,3.5606572135944248,100.0,0.0,3.5606572135944248,0.0,0.0,1.0,3.3220796758946656,3.817240603196039,0.0
hotpotqa,all_recall@5,AR@5,colbertv2,ColBERTv2,68.19716407832546,0.0,3,0.0,-5.901417960837264,79.77942831420212,11.582264235876664,5.6808462750394,10.934053567409409,12.234976367319378,0.0,5.239702903443619,6.1309925725860905,0.0
hotpotqa,all_recall@5,AR@5,calibrated_hkvm_topk4,Learned HKVM calibration,74.09858203916272,0.0902540520178441,3,5.901417960837264,0.0,79.77942831420212,11.582264235876664,5.6808462750394,10.934053567409409,12.234976367319378,0.0,5.239702903443619,6.1309925725860905,0.0
