dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,source_only_delta_vs_dense
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,56.774809160305345,0.0,3,-7.339376590330794,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,80.15280670652788,0.3075490957476179,3,2.390208611705134,78.09801350168857,0.3354154068658204,-8.693338780125671,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,78.09801350168857,0.0,3,0.3354154068658204,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,79.65701865988126,0.3117300769293742,3,2.462362171331648,77.52862595419847,0.3339694656488632,-9.00127226463104,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,77.52862595419847,0.0,3,0.3339694656488632,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,99.6501272264631,-0.3498727735369016,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,-0.3498727735369016,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,69.399385072095,0.8468749955161752,3,5.285199321458862,70.18924936386769,6.075063613231549,-23.90002120441052,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,6.075063613231549,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,weighted_kg_ppr,ColBERTv2 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,80.7693429475176,0.5111542945280404,3,3.006744852694851,75.89402027596628,-1.8685778188564655,-8.076802539135954,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,75.89402027596628,0.0,3,-1.8685778188564655,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
