dataset,seed,repeat,feature_count,feature_mode,examples,candidate_passages,elapsed_seconds,milliseconds_per_example,microseconds_per_candidate,examples_per_second,candidate_passages_per_second,ranking_checksum
2wiki,29,6,23,dense_hkvm,12576,125237,2.940995688084513,0.23385779962504077,23.483440900728322,4276.102835156083,42583.19742099573,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,43,0,23,dense_hkvm,12576,125237,2.7142474020365626,0.2158275605945104,21.67288742174088,4633.328557508773,46140.59864477784,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,1,23,dense_hkvm,12576,125237,2.4574704689439386,0.19540954746691624,19.622559378968983,5117.457222346337,50961.751761688,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,2,23,dense_hkvm,12576,125237,2.5291773302014917,0.20111142892823566,20.19512867763913,4972.367832744298,49516.89171989485,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,3,23,dense_hkvm,12576,125237,2.7567027991171926,0.21920346685092182,22.011887853567178,4561.9716438157,45429.99703852949,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,4,23,dense_hkvm,12576,125237,2.8867318220436573,0.22954292478082516,23.050151489125877,4356.48365531123,43383.66281331207,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,5,23,dense_hkvm,12576,125237,2.875632801093161,0.22866036904366738,22.96152735288422,4373.298285935283,43551.1098469845,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
2wiki,43,6,23,dense_hkvm,12576,125237,2.844848911045119,0.22621254063653937,22.715722278920122,4420.62140845994,44022.37303843014,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
hotpotqa,13,0,23,dense_hkvm,7405,73700,1.71571354707703,0.23169663026023363,23.27969534704247,4315.988535857577,42955.888601310384,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,13,1,23,dense_hkvm,7405,73700,1.57784169097431,0.21307787859207428,21.408978167901086,4693.119748551863,46709.37548524947,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,13,2,23,dense_hkvm,7405,73700,1.4058021670207381,0.18984499217025497,19.074656268938103,5267.455246347449,52425.584288427686,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,13,3,23,dense_hkvm,7405,73700,1.2109580950345844,0.16353249088920788,16.430910380387846,6114.99277337794,60860.900391351,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,13,4,23,dense_hkvm,7405,73700,1.1660492829978466,0.1574678302495404,15.821564219780822,6350.503454675745,63204.87570690107,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
